@T,table
Created,2018-05-08 10:43
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5
ID,,0,1,2,3,4,5
Type,Date,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,
,2008-06-29 18:00,22.991319855984315,23.120670562421136,23.174066057320335,23.21142789477244,23.242544758320022,23.26643743749203
,2008-06-29 19:00,22.991319855984315,23.120670562421136,23.174066057320335,23.21142789477244,23.242544758320022,23.26643743749203
,2008-06-29 20:00,22.991319855984315,23.120670562421136,23.174066057320335,23.21142789477244,23.242544758320022,23.26643743749203
,2008-06-29 21:00,22.991319855984315,23.120670562421136,23.174066057320335,23.21142789477244,23.242544758320022,23.26643743749203
,2008-06-29 22:00,22.991319855984315,23.120670562421136,23.174066057320335,23.21142789477244,23.242544758320022,23.26643743749203
,2008-06-29 23:00,22.99574852401023,23.120741093701984,23.173715647607484,23.211159070380713,23.242303672983358,23.26632808090731
,2008-06-30 00:00,22.99574852401023,23.120741093701984,23.173715647607484,23.211159070380713,23.242303672983358,23.26632808090731
,2008-06-30 01:00,23.000222849484054,23.12100542081459,23.175333705001048,23.21306704195407,23.244031178627868,23.26809228195096
,2008-06-30 02:00,23.000222849484054,23.12100542081459,23.175333705001048,23.21306704195407,23.244031178627868,23.26809228195096
,2008-06-30 03:00,23.000222849484054,23.12100542081459,23.175333705001048,23.21306704195407,23.244031178627868,23.26809228195096
,2008-06-30 04:00,23.000222849484054,23.12100542081459,23.175333705001048,23.21306704195407,23.244031178627868,23.26809228195096

