@T,table
Created,2018-05-08 10:41
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3,value_4,value_5
ID,,0,1,2,3,4,5
Type,Date,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,
,2008-06-29 18:00,3289.692523717815,9825.383805858306,15394.674838628265,21059.051732499855,27322.389685218783,33357.62871600971
,2008-06-29 19:00,3289.692523717815,9825.383805858306,15394.674838628265,21059.051732499855,27322.389685218783,33357.62871600971
,2008-06-29 20:00,3289.692523717815,9825.383805858306,15394.674838628265,21059.051732499855,27322.389685218783,33357.62871600971
,2008-06-29 21:00,3289.692523717815,9825.383805858306,15394.674838628265,21059.051732499855,27322.389685218783,33357.62871600971
,2008-06-29 22:00,3289.692523717815,9825.383805858306,15394.674838628265,21059.051732499855,27322.389685218783,33357.62871600971
,2008-06-29 23:00,3415.7795458640117,9831.22346099787,15349.450706735059,21011.687134561602,27267.380632189623,33327.19402886415
,2008-06-30 00:00,3415.7795458640117,9831.22346099787,15349.450706735059,21011.687134561602,27267.380632189623,33327.19402886415
,2008-06-30 01:00,3548.0363273797147,9853.139151208781,15559.385657055245,21350.15720223495,27663.991200678945,33821.56451331962
,2008-06-30 02:00,3548.0363273797147,9853.139151208781,15559.385657055245,21350.15720223495,27663.991200678945,33821.56451331962
,2008-06-30 03:00,3548.0363273797147,9853.139151208781,15559.385657055245,21350.15720223495,27663.991200678945,33821.56451331962
,2008-06-30 04:00,3548.0363273797147,9853.139151208781,15559.385657055245,21350.15720223495,27663.991200678945,33821.56451331962

